ra,dec,phot_g_mean_mag
34.09757674893376,69.54621078813469,10.009528
34.584726846528525,69.49972819813576,11.71182
34.67394611069446,69.5113241933314,10.712364
34.44108694642052,69.51736773007295,10.986377
34.788076333350396,69.61496075001229,11.493277
33.08473607665921,69.10909405158287,11.814347
32.775171685989314,69.24792621164285,11.993017
33.052901586902344,69.24612647826811,10.78134
33.02417266290758,69.3664087944897,11.263789
33.33652648200248,69.36721520524179,8.109539
33.58456406993372,69.43366979018708,10.940158
33.241264668766796,69.38420189161658,10.075533
33.16511975849345,69.46186118214077,11.809024
33.16456961521414,69.46214208676219,11.901192
32.431467325012086,69.42637005751881,10.324258
33.00110220887884,69.50117497427392,8.825167
32.93336932867706,69.55249080855911,11.456691
32.680542450257754,69.58968983900007,11.196
32.880988301697954,69.68086413841682,11.767043
33.77518173903084,69.48924371714273,11.925237
33.721261444390116,69.59623222780723,9.120314
33.73769062861341,69.60112375615242,11.018204
33.46822249009884,69.58158400377859,11.5320215
33.31936468304625,69.65094351882662,11.466216
34.033062327464975,69.6954549697551,10.870088
34.27019377479774,69.80934781035835,11.047527
34.224653677681644,69.83243605974431,11.208634
33.8401480928205,69.93276957365727,10.3918
33.18306204149815,69.6493172159831,11.00975
33.13294891048028,69.76042639534722,11.867617
33.302225284014625,69.79770201915221,10.945878
32.760592253787024,69.81431530768181,11.556176
32.93073934892704,69.84157619460208,11.628164
33.530335833748765,69.87618064699365,9.2854395
33.381661395384924,69.86885360967833,11.743177
33.412534265142114,69.9756859077985,11.850363
35.34153781829477,69.43503953722158,10.6825075
35.458817747070626,69.53436665985824,11.625659
35.105048362477646,69.66937088144118,10.337211
35.627448763329326,69.79782320299698,10.4543915
35.7054150308947,69.8220745477075,11.426703
35.248234551117505,69.77626986062808,10.551136
35.37911440430386,69.80275886227554,8.974051
35.72805537080846,69.89075556071901,10.623008
35.51174631759257,69.8932540096119,9.971036
34.84064210979179,69.66288029174679,11.9396715
34.85291713429343,69.68532069473382,11.8375435
34.886049916373736,69.79159463644255,10.4536
34.99601292075521,69.83052322900177,11.264884
35.16064183595308,69.80881206095121,11.94186
35.22771219576022,70.00085801807768,11.699322
35.86125661977407,69.90590342086809,8.479272
36.22096540420613,69.9490703049507,11.908618
35.683666091183184,69.96495015835268,9.901394
35.868608756714565,70.02200758581799,10.087195
35.980511863892254,70.05149782111195,9.005545
36.03209474714055,70.06807462127206,11.661209
36.09943338653278,70.16685055906551,10.327832
35.985201929529154,70.214137203939,10.231524
35.78854380734546,70.14670825936182,11.346025
35.332963109746174,70.1538448554376,9.69993
35.299716282077995,70.17329379009874,9.04319
35.30438176321205,70.21954912929294,11.958349
35.878052591753345,70.24579071257841,10.2484455
36.04528911692201,70.29684610359405,11.781607
35.770040570008064,70.34322836925081,8.347573
35.77042484688929,70.34308242928839,8.304368
34.581574832048716,70.00301113389453,11.830116
34.133771845878776,70.03658169649101,11.463815
34.67363218166358,70.05886303238579,11.038146
34.52578143236871,70.11569332238749,11.678175
34.71823581834936,70.14017264140077,11.8601055
34.474392256217094,70.14523178861263,10.79314
34.280215509404584,70.18995925473615,11.063788
34.41115661380722,70.209513596846,11.271019
33.6655160903721,70.06905107270973,11.877009
33.64074210699965,70.14877229249663,8.978474
33.43719806677964,70.1353070564775,11.717604
33.451914216552005,70.15674292035257,11.477645
33.4762721175004,70.20836413657996,10.847921
34.29388879153265,70.3959787375363,11.16916
35.21235225910797,70.33228831788895,11.817082
35.300626987302124,70.34347864332541,11.517993
34.79487691929433,70.39794338802118,11.970723
35.41594813398096,70.42346332392057,8.45217
